stage,time,roi,area_px,bg_mode,bg_scope,clip_neg,bg_stride,ch2_bg,ch2_color,ch2_mean,ch2_median,ch2_npx,ch2_p,ch2_p5,ch2_p95,ch2_std,ch2_vmax,ch2_vmin,ch2_vsum,ch3_bg,ch3_color,ch3_mean,ch3_median,ch3_npx,ch3_p,ch3_p5,ch3_p95,ch3_std,ch3_vmax,ch3_vmin,ch3_vsum,stage_idx,time_idx,roi_lab,roi_id
S01,,1,1830,percentile,full,True,4,24.0,Green,37.02294921875,35.0,1830,1.0,12.0,66.0,17.276899337768555,93.0,0.0,67752.0,76.0,Red,1221.851318359375,864.5,1830,1.0,131.0,4019.0,1130.812255859375,4019.0,69.0,2235988.0,1,0,s1c1,S01_roi1
S01,,2,1999,percentile,full,True,4,24.0,Green,39.83241653442383,39.0,1999,1.0,14.0,69.0,17.96735382080078,95.0,1.0,79625.0,76.0,Red,153.51976013183594,155.0,1999,1.0,50.0,264.0999755859375,69.68118286132812,375.0,12.0,306886.0,1,0,s1c2,S01_roi2
S01,,3,1747,percentile,full,True,4,24.0,Green,36.99828338623047,36.0,1747,1.0,13.0,63.0,15.875715255737305,88.0,1.0,64636.0,76.0,Red,136.3388671875,134.0,1747,1.0,48.0,230.0,57.43650436401367,308.0,0.0,238184.0,1,0,s1c3,S01_roi3
S01,,4,2386,percentile,full,True,4,24.0,Green,40.85750198364258,38.0,2386,1.0,14.0,74.0,18.842552185058594,106.0,2.0,97486.0,76.0,Red,343.51300048828125,251.5,2386,1.0,69.0,1055.75,321.8342590332031,2788.0,18.0,819622.0,1,0,s1c4,S01_roi4
S01,,5,1979,percentile,full,True,4,24.0,Green,36.21879577636719,33.0,1979,1.0,12.0,67.0,17.74768829345703,89.0,0.0,71677.0,76.0,Red,162.37290954589844,160.0,1979,1.0,50.0,286.0,76.49479675292969,379.0,9.0,321336.0,1,0,s1c5,S01_roi5
S01,,6,2092,percentile,full,True,4,24.0,Green,38.428775787353516,35.0,2092,1.0,13.0,70.0,18.032718658447266,89.0,1.0,80393.0,76.0,Red,1855.4388427734375,1768.5,2092,1.0,201.0,4019.0,1258.9014892578125,4019.0,51.0,3881578.0,1,0,s1c6,S01_roi6
S01,,7,2277,percentile,full,True,4,24.0,Green,36.270530700683594,33.0,2277,1.0,13.0,67.0,17.37462615966797,88.0,0.0,82588.0,76.0,Red,152.8445281982422,146.0,2277,1.0,41.0,290.0,81.49978637695312,370.0,1.0,348027.0,1,0,s1c7,S01_roi7
S01,,8,2738,percentile,full,True,4,24.0,Green,45.10153579711914,44.0,2738,1.0,16.0,76.0,19.45256805419922,107.0,2.0,123488.0,76.0,Red,2438.66845703125,2578.0,2738,1.0,317.0,4019.0,1477.2640380859375,4019.0,100.0,6677074.0,1,0,s1c8,S01_roi8
S01,,9,1764,percentile,full,True,4,24.0,Green,43.025508880615234,42.0,1764,1.0,15.150001525878906,74.0,18.9580020904541,94.0,3.0,75897.0,76.0,Red,165.83787536621094,168.0,1764,1.0,55.0,281.8499755859375,74.37847900390625,350.0,3.0,292538.0,1,0,s1c9,S01_roi9
S01,,10,2101,percentile,full,True,4,24.0,Green,44.737266540527344,45.0,2101,1.0,15.0,77.0,19.655540466308594,99.0,3.0,93993.0,76.0,Red,223.96572875976562,198.0,2101,1.0,54.0,475.0,134.68145751953125,639.0,11.0,470552.0,1,0,s1c10,S01_roi10
S01,,11,2705,percentile,full,True,4,24.0,Green,48.289833068847656,46.0,2705,1.0,16.0,88.0,23.604276657104492,114.0,2.0,130624.0,76.0,Red,2596.64208984375,3666.0,2705,1.0,198.0,4019.0,1583.97265625,4019.0,83.0,7023917.0,1,0,s1c11,S01_roi11
S01,,12,2396,percentile,full,True,4,24.0,Green,37.567195892333984,34.5,2396,1.0,15.0,68.0,16.53485870361328,94.0,0.0,90011.0,76.0,Red,322.02838134765625,258.0,2396,1.0,85.0,723.0,219.1414337158203,1949.0,26.0,771580.0,1,0,s1c12,S01_roi12
S01,,13,1858,percentile,full,True,4,24.0,Green,46.383209228515625,44.0,1858,1.0,19.0,81.1500244140625,19.542247772216797,105.0,5.0,86180.0,76.0,Red,255.97308349609375,227.0,1858,1.0,84.0,534.300048828125,143.76129150390625,968.0,40.0,475598.0,1,0,s1c13,S01_roi13
S01,,14,1906,percentile,full,True,4,24.0,Green,43.732425689697266,43.0,1906,1.0,18.0,70.75,16.15814971923828,90.0,5.0,83354.0,76.0,Red,226.97061157226562,219.0,1906,1.0,75.0,396.75,112.18226623535156,1232.0,15.0,432606.0,1,0,s1c14,S01_roi14
S01,,15,1856,percentile,full,True,4,24.0,Green,44.51616287231445,43.0,1856,1.0,21.0,72.0,15.94017505645752,103.0,2.0,82622.0,76.0,Red,211.5695037841797,214.0,1856,1.0,87.0,328.0,76.75104522705078,499.0,36.0,392673.0,1,0,s1c15,S01_roi15
S01,,16,1671,percentile,full,True,4,24.0,Green,38.043087005615234,35.0,1671,1.0,15.0,67.5,16.648168563842773,84.0,0.0,63570.0,76.0,Red,218.17713928222656,200.0,1671,1.0,65.0,408.5,113.66009521484375,715.0,25.0,364574.0,1,0,s1c16,S01_roi16
S01,,17,2693,percentile,full,True,4,24.0,Green,43.66468811035156,44.0,2693,1.0,17.0,70.0,16.606185913085938,92.0,3.0,117589.0,76.0,Red,2981.941650390625,4019.0,2693,1.0,511.6000061035156,4019.0,1366.9945068359375,4019.0,212.0,8030369.0,1,0,s1c17,S01_roi17
S01,,18,2063,percentile,full,True,4,24.0,Green,42.50460433959961,42.0,2063,1.0,17.0,70.0,16.75210189819336,92.0,6.0,87687.0,76.0,Red,612.6800537109375,353.0,2063,1.0,90.0,2415.400390625,745.6566162109375,4019.0,19.0,1263959.0,1,0,s1c18,S01_roi18
